Channel,Name
1,TY SNARER
2,Ch 2
3,Ch 3
4,Ch 4
5,Ch 5
6,Ch 6
7,Ch 7
8,Ch 8
9,Ch 9
10,Ch 10
11,Ch 11
12,Ch 12
13,Ch 13
14,Ch 14
15,Ch 15
16,Ch 16
17,Ch 17
18,Ch 18
19,Ch 19
20,Ch 20
21,Ch 21
22,Ch 22
23,Ch 23
24,Ch 24
25,Ch 25
26,Ch 26
27,Ch 27
28,Ch 28
29,Ch 29
30,Ch 30
31,Ch 31
32,Ch 32
33,Ch 33
34,Ch 34
35,Ch 35
36,Ch 36
37,Ch 37
38,Ch 38
39,Ch 39
40,Ch 40
41,Ch 41
42,Ch 42
43,Ch 43
44,Ch 44
45,Ch 45
46,Ch 46
47,Ch 47
48,Ch 48
49,Talkback Input
50,TB In
51,Talkback Outputs
52,Dante
53,3:Dante 1
54,3:Dante 2
55,3:Dante 3
56,3:Dante 4
57,3:Dante 5
58,3:Dante 6
59,3:Dante 7
60,3:Dante 8
61,3:Dante 9
62,3:Dante 10
63,3:Dante 11
64,3:Dante 12
65,3:Dante 13
66,3:Dante 14
67,3:Dante 15
68,3:Dante 16
69,3:Dante 17
70,3:Dante 18
71,3:Dante 19
72,3:Dante 20
73,3:Dante 21
74,3:Dante 22
75,3:Dante 23
76,3:Dante 24
77,3:Dante 25
78,3:Dante 26
79,3:Dante 27
80,3:Dante 28
81,3:Dante 29
82,3:Dante 30
83,3:Dante 31
84,3:Dante 32
85,3:Dante 33
86,3:Dante 34
87,3:Dante 35
88,3:Dante 36
89,3:Dante 37
90,3:Dante 38
91,3:Dante 39
92,3:Dante 40
93,3:Dante 41
94,3:Dante 42
95,3:Dante 43
96,3:Dante 44
97,3:Dante 45
98,3:Dante 46
99,3:Dante 47
100,3:Dante 48
101,3:Dante 49
102,3:Dante 50
103,3:Dante 51
104,3:Dante 52
105,3:Dante 53
106,3:Dante 54
107,3:Dante 55
108,3:Dante 56
109,3:Dante 57
110,3:Dante 58
111,3:Dante 59
112,3:Dante 60
113,3:Dante 61
114,3:Dante 62
115,3:Dante 63
116,3:Dante 64
117,Dante
118,3:Dante 1
119,3:Dante 2
120,3:Dante 3
121,3:Dante 4
122,3:Dante 5
123,3:Dante 6
124,3:Dante 7
125,3:Dante 8
126,3:Dante 9
127,3:Dante 10
128,3:Dante 11
